,Title,Rating
1895,The Iron Ministry,88%
1896,Secret in Their Eyes,39%
1897,Trumbo,74%
1898,King Georges,100%
1899,Bad Hurt,80%
1900,Frankenstein,100%
1901,My All American,32%
1902,Stink!,89%
1903,Spotlight,97%
1904,Cabin Fever,0%
1905,Criminal Activities,48%
1906,Yosemite,77%
1907,Extraction,6%
1908,Estranged,100%
1909,Diablo,19%
1910,Moonwalkers,41%
1911,The Girl in the Book,92%
1912,Marguerite & Julien (Marguerite et Julien),22%
1913,We Are Twisted F***ing Sister!,80%
1914,Rosencrantz and Guildenstern Are Dead,62%
1915,Life Tracker,100%
1916,Straight Outta Compton,88%
1917,Hotel Transylvania 2,56%
1918,The Intern,60%
1919,Samba,62%
1920,Everest,73%
1921,Night Will Fall,100%
1922,Sinister 2,15%
1923,Jem and the Holograms,22%
1924,The Martian,91%
1925,The Look of Silence,96%
1926,How to Smell a Rose: A Visit with Ricky Leacock at his Farm in Normandy,100%
1927,Eden,82%
1928,Learning To Drive,65%
1929,Paranormal Activity: The Ghost Dimension,14%
1930,The Diary Of A Teenage Girl,94%
1931,The Second Mother (Que Horas Ela Volta?),97%
1932,Irrational Man,46%
1933,I Am Thor,88%
1934,Woodlawn,73%
1935,Stonewall,10%
1936,Anesthesia,26%
1937,Ashby,52%
1938,All Things Must Pass: The Rise and Fall of Tower Records,94%
1939,Uncle John,83%
1940,Contracted: Phase II,38%
1941,Wrecker,0%
1942,This Changes Everything,53%
1943,The Inhabitants,71%
1944,Rabid Dogs (Enragés),67%
1945,Sweaty Betty,88%
1946,Shanghai,4%
1947,Pawn Sacrifice,72%
1948,The Green Inferno,37%
1949,Hell & Back,0%
1950,Sleeping with Other People,64%
1951,Pan,27%
1952,Infinitely Polar Bear,81%
1953,The Walk,83%
1954,Hitman: Agent 47,9%
1955,Dragon Blade (Tian jiang xiong shi),37%
1956,Black Mass,73%
1957,Northern Soul,78%
1958,Jenny's Wedding,25%
1959,Over Your Dead Body (Kuime),56%
1960,Bone Tomahawk,91%
1961,The Perfect Guy,18%
1962,The Visit,67%
1963,A Walk In The Woods,47%
1964,Experimenter,84%
1965,Nasty Baby,68%
1966,War Room,33%
1967,Deathgasm,87%
1968,Queen of Earth,94%
1969,Sicario,92%
1970,Close Range,86%
1971,Captive,27%
1972,Joe Dirt 2: Beautiful Loser,10%
1973,Scouts Guide to the Zombie Apocalypse,44%
1974,Prince,71%
1975,Heist,29%
1976,Memories of the Sword,75%
1977,Palio,95%
1978,Tough Guys,57%
1979,Three Sisters,100%
1980,Collide,21%
1981,Beauty and the Beast,71%
1982,A Cure For Wellness,42%
1983,Dheepan,87%
1984,War Machine,48%
1985,The Shack,20%
1986,The Blackcoat's Daughter (February),73%
1987,Land of Mine (Under Sandet),91%
1988,Aftermath,42%
1989,Fist Fight,24%
1990,The Ticket,48%
1991,My Life as a Zucchini (Ma vie de courgette),98%
1992,A United Kingdom,84%
1993,Before I Fall,64%
1994,The Sense Of An Ending,76%
1995,Mine,17%
1996,The Assignment,34%
1997,Operation Mekong,78%
1998,Headshot,72%
1999,Voice from the Stone,36%
2000,All Nighter,8%
2001,The Last Word,39%
2002,Enter The Warriors Gate (Warrior's Gate),50%
2003,Journey to the West: The Demons Strike Back,58%
2004,96 Souls,0%
2005,Be Afraid,18%
2006,Shimmer Lake,60%
2007,Sarah Silverman: A Speck of Dust,100%
2008,Speedy,100%
2009,Ant-Man,83%
2010,Minions,55%
2011,Fantastic Four,9%
2012,Mission: Impossible Rogue Nation,93%
2013,Jellyfish Eyes,18%
2014,Ted 2,45%
2015,Fat,60%
2016,The Kindergarten Teacher (Haganenet),76%
2017,Time Out Of Mind,79%
2018,Maze Runner: The Scorch Trials,46%
2019,Wolf Totem,67%
2020,Mississippi Grind,91%
2021,Being Evel,97%
2022,The Hunting Ground,93%
2023,Knock Knock,37%
2024,Partisan,57%
2025,The Strongest Man,22%
2026,The Transporter Refueled,16%
2027,He Named Me Malala,72%
2028,Slow Learners,73%
2029,Amy,95%
2030,Roger Waters The Wall,100%
2031,Walt Before Mickey,17%
2032,90 Minutes In Heaven,24%
2033,Momentum,26%
2034,One & Two,44%
2035,Yakuza Apocalypse,63%
2036,"Sex, Death And Bowling",17%
2037,Finders Keepers,98%
2038,The Girl King,42%
2039,Lost in the Sun,20%
2040,Stations of the Elevated,100%
2041,The Man From U.N.C.L.E.,67%
2042,Shaun the Sheep Movie,99%
2043,Jerusalem,89%
2044,Desert Dancer,33%
2045,The Square (Al Midan),100%
2046,Cooties,45%
2047,Get Santa,77%
2048,Steve McQueen: The Man & Le Mans,77%
2049,Trash,66%
2050,American Ultra,42%
2051,Ricki And The Flash,64%
2052,Natural Resistance,86%
2053,A Hard Day,81%
2054,No Escape,46%
2055,Some Kind of Beautiful,6%
2056,Gringo Trails,71%
2057,Guidance,88%
2058,Tokyo Tribe,55%
2059,"Goodnight Mommy (Ich seh, Ich seh)",86%
2060,Sand Dollars (Dolares de Arena),94%
2061,L.A. Slasher,0%
2062,Kurt Cobain: Montage Of Heck,97%
2063,Meru,89%
2064,The Stanford Prison Experiment,84%
2065,Winning: The Racing Life Of Paul Newman,90%
2066,Unbranded,75%
2067,Once I Was A Beehive,75%
2068,Applesauce,63%
2069,Ronaldo,14%
2070,We Are Your Friends,38%
2071,John Mulaney: The Comeback Kid,100%
2072,Tomorrowland,50%
2073,What We Did on Our Holiday,73%
2074,Tio Papi,29%
2075,Dark Places,24%
2076,Particle Fever,96%
2077,Blackwood,40%
2078,The Falling,72%
2079,Get Married If You Can,20%
2080,Manglehorn,50%
2081,Insidious: Chapter 3,59%
2082,Harmontown,79%
2083,Magic Mike XXL,66%
2084,The Anomaly,0%
2085,Amour Fou,88%
2086,Mateo,63%
2087,Awake: The Life Of Yogananda,64%
2088,The Little Death,61%
2089,Sharknado 3: Oh Hell No!,36%
2090,Gravy,30%
2091,Last Shift,100%
2092,Air,17%
2093,Gloria,100%
2094,Batkid Begins,81%
2095,Fresh Dressed,90%
2096,Going Clear: Scientology and the Prison of Belief,95%
2097,Me and Earl and the Dying Girl,81%
2098,People Places Things,76%
2099,Ten Thousand Saints,58%
2100,Road Hard,50%
2101,We Are Still Here,95%
2102,Final Girl,31%
2103,Pod,75%
2104,The Squeeze,17%
2105,The Uncondemned,100%
2106,Triple Threat,70%
2107,Bumblebee,92%
2108,A Vigilante,92%
2109,The Field Guide to Evil,75%
2110,The Legend of Cocaine Island,78%
2111,Capernaum (Capharnaüm),90%
2112,No Alternative,83%
2113,White Chamber,43%
2114,Tucked,94%
2115,MFKZ,41%
2116,Vice,66%
2117,The Great Buster: A Celebration,93%
2118,Pokémon the Movie: The Power of Us,67%
2119,Out of Blue,37%
2120,Book of Monsters,75%
2121,Big Kill,22%
2122,The Quake (Skjelvet),84%
2123,The Mule,70%
2124,Rust Creek,84%
2125,Mirage (Durante la tormenta),71%
2126,The Highwaymen,57%
2127,Nancy Drew and the Hidden Staircase,67%
2128,The Dirt,39%
2129,American Relapse,100%
2130,We Are Boats,50%
2131,Amy Schumer Growing,79%
2132,Sobibor,75%
2133,Kevin Hart: Irresponsible,100%
2134,Almayer's Folly,85%
2135,Finding Dory,94%
2136,Sausage Party,83%
2137,Fort Tilden,88%
2138,Yoga Hosers,22%
2139,Mechanic: Resurrection,32%
2140,Kubo and the Two Strings,97%
2141,Mia Madre,84%
2142,Uncle Kent 2,73%
2143,War Dogs,60%
2144,Our Little Sister (Umimachi Diary),94%
2145,Band Of Robbers,78%
2146,The Similars (Los Parecidos),95%
2147,"Lo and Behold, Reveries of the Connected World",93%
2148,Indignation,82%
2149,Absolutely Fabulous: The Movie,58%
2150,Hands of Stone,44%
2151,Kickboxer: Vengeance,41%
2152,Tikkun,94%
2153,The True Memoirs of an International Assassin,0%
2154,Hell or High Water,97%
2155,Divines,83%
2156,Lazy Eye,67%
2157,Cardboard Boxer,38%
2158,Operator,100%
2159,Good Kids,33%
2160,Life on the Line,0%
2161,I.T.,9%
2162,Blue Jay,90%
2163,Army of One,25%
2164,The 24 Hour War,100%
2165,Marathon: The Patriots Day Bombing,90%
2166,Little Pink House,75%
2167,Super Troopers 2,33%
2168,Chappaquiddick,81%
2169,The Leisure Seeker,37%
2170,Future World,0%
2171,Lean on Pete,91%
2172,Isle of Dogs,90%
2173,Dream Big: Engineering Our World,100%
2174,Blumhouse's Truth or Dare,16%
2175,Love After Love,85%
2176,You Were Never Really Here,89%
2177,A Ciambra,89%
2178,Moss,71%
2179,A Quiet Place,95%
2180,Ruin Me,82%
2181,Disobedience,84%
2182,Traffik,29%
2183,Krystal,10%
2184,I Feel Pretty,36%
2185,Who's Watching Oliver,86%
2186,Operation Red Sea,78%
2187,The Night Eats the World (La nuit a dévoré le monde),84%
2188,The Con Is On,0%
2189,Incident In a Ghost Land (Ghostland),56%
2190,211,5%
2191,The Devil's Doorway,78%
2192,Rock Rubber 45s,100%
2193,How It Ends,19%
2194,Father of the Year,0%
2195,Jim Gaffigan: Noble Ape,100%
2196,Iliza Shlesinger: Elder Millennial,60%
2197,Monster Hunt (Zhuo Yao Ji),63%
2198,I Am Wrath,11%
2199,Criminal,30%
2200,Listening,17%
2201,The Boss,22%
2202,The Russian Woodpecker,96%
2203,Barbershop: The Next Cut,90%
2204,Requiem For The American Dream,92%
2205,Confirmation,83%
2206,The Lobster,88%
2207,Holding The Man,81%
2208,Mother's Day,6%
2209,Born To Be Blue,88%
2210,Hardcore Henry,50%
2211,River,85%
2212,Sing Street,95%
2213,Tallulah,85%
2214,The First Monday in May,77%
2215,The Trust,63%
2216,Most Likely to Die,40%
2217,The American Side,78%
2218,Batman: The Killing Joke,40%
2219,Traded,40%
2220,Edge of Winter,50%
2221,Can We Take a Joke?,55%
2222,Ants on a Shrimp,75%
2223,Guernica (Gernika),86%
2224,Ray Harryhausen: Special Effects Titan,92%
2225,Kung Fu Panda 3,87%
2226,Term Life,0%
2227,Whiskey Tango Foxtrot,68%
2228,Adventures in Babysitting,100%
2229,Roseanne for President!,60%
2230,Fastball,89%
2231,600 Miles,94%
2232,A Sinner in Mecca,86%
2233,Eye In The Sky,95%
2234,The Girl In The Photographs,14%
2235,The Wave (Bolgen),84%
2236,The Steps,33%
2237,The Brothers Grimsby,38%
2238,Francofonia,86%
2239,"Rabin, the Last Day",68%
2240,Carnage Park,62%
2241,The Fundamentals of Caring,77%
2242,Precious Cargo,0%
2243,Mad Tiger,64%
2244,The Phenom,79%
2245,The Duel,26%
2246,The Dog Lover,22%
2247,Vigilante Diaries,14%
2248,Out of Print,80%
2249,Andron (Andròn - The Black Labyrinth),0%
2250,Intruder,17%
2251,Satanic,0%
2252,We the Parents,67%
2253,Notes on Blindness,95%
2254,Alien: Covenant,66%
2255,Guardians of the Galaxy Vol. 2,84%
2256,Blood Ransom,20%
2257,Sin Alas,64%
2258,Snatched,36%
2259,The Dinner,46%
2260,Kiki,81%
2261,Eva Hesse,79%
2262,Betting on Zero,100%
2263,Wolves,33%
2264,After the Storm (Umi yori mo mada fukaku),96%
2265,11:55,100%
2266,How to Be a Latin Lover,38%
2267,King Arthur: Legend Of The Sword,31%
2268,Diary Of A Wimpy Kid: The Long Haul,18%
2269,The Wall,64%
2270,"Everything, Everything",45%
2271,The Case for Christ,59%
2272,Once Upon a Time in Venice,19%
2273,Death Note,39%
2274,Kill Switch,10%
2275,Naked,0%
2276,Hickok,57%
2277,Blind,19%
2278,The Ice Cream Truck,71%
2279,Unleashed,75%
2280,What Happened to Monday,57%
2281,The Monster Project,60%
2282,Descendants 2,67%
2283,Brad Paisley's Comedy Rodeo,60%
2284,Arctic Tale,61%
2285,The Boss Baby,52%
2286,Ghost in the Shell,43%
2287,The Circle,15%
2288,Colossal,80%
2289,The Legend of Ben Hall,50%
2290,Sleight,77%
2291,Going in Style,48%
2292,Godzilla Resurgence (Shin Godzilla),86%
2293,Wakefield,73%
2294,The Exception (The Kaiser's Last Kiss),75%
2295,Don't Knock Twice,22%
2296,House On Willow Street,60%
2297,Brave New Jersey,47%
2298,The Drowning,50%
2299,The Ottoman Lieutenant,17%
2300,Fun Mom Dinner,33%
2301,The Incredible Jessica James,88%
2302,Black Butterfly,42%
2303,Icarus,94%
2304,It's Not Yet Dark,95%
2305,Some Freaks,92%
2306,Phoenix Forgotten,41%
2307,The Hippopotamus,57%
2308,Good Fortune,78%
2309,Chronically Metropolitan,40%
2310,Armed Response,0%
2311,Burning Annie,50%
2312,xXx: Return of Xander Cage,45%
2313,A Fantastic Fear of Everything,34%
2314,Resident Evil: The Final Chapter,37%
2315,Logan,93%
2316,Fifty Shades Darker,11%
2317,Welcome To Happiness,27%
2318,The Commune (Kollektivet),71%
2319,Urban Hymn,58%
2320,The Space Between Us,16%
2321,A Street Cat Named Bob,77%
2322,Things to Come (L'avenir),99%
2323,The Great Wall,36%
2324,Burden,97%
2325,Between Us,50%
2326,Bad Rap,63%
2327,AWOL,93%
2328,Dying Laughing,89%
2329,Mom and Me,100%
2330,Rock Dog,47%
2331,Hounds of Love,88%
2332,The Void,78%
2333,Get Out,98%
2334,Dead Awake,20%
2335,Mommy Dead and Dearest,100%
2336,XX,70%
2337,Tracy Morgan: Staying Alive,83%
2338,Get Me Roger Stone,88%
2339,Danger Close,20%
2340,I Am Heath Ledger,86%
2341,"Norm Macdonald: Hitler's Dog, Gossip & Trickery",100%
2342,Hasan Minhaj: Homecoming King,78%
2343,Rings,8%
2344,Black Rose,13%
2345,La La Land,91%
2346,Gold,43%
2347,Camino,32%
2348,Sand Castle,47%
2349,A Dog's Purpose,35%
2350,The Bye Bye Man,19%
2351,We Are X,81%
2352,The Girl With All the Gifts,86%
2353,Underworld: Blood Wars,19%
2354,The Last Heist,11%
2355,Mean Dreams,80%
2356,The Red Turtle (La tortue rouge),93%
2357,The Salesman (Forushande),96%
2358,Beyond the Gates,81%
2359,Operation Chromite,33%
2360,Detour,63%
2361,The Resurrection of Gavin Stone,50%
2362,Disturbing The Peace,100%
2363,Tramps,95%
2364,The Levelling,94%
2365,Catfight,73%
2366,I Am Not Your Negro,98%
2367,Mifune: The Last Samurai,82%
2368,Rupture,18%
2369,The Comedian,24%
2370,Small Crimes,65%
2371,Rodney King,100%
2372,Maria Bamford: Old Baby,100%
2373,Rebels of the Neon God,100%
2374,The Forgotten Space,71%
2375,Southpaw,60%
2376,Pixels,16%
2377,The Human Centipede III (Final Sequence),17%
2378,Jurassic World,72%
2379,San Andreas,50%
2380,Seeds Of Time,67%
2381,Drug Lord: The Legend Of Shorty,63%
2382,Güeros,92%
2383,Max,38%
2384,Xenia,86%
2385,Tu Dors Nicole,100%
2386,Testament Of Youth,84%
2387,Paper Towns,57%
2388,Sunset Edge,69%
2389,Cut Snake,69%
2390,Meet Me In Montenegro,50%
2391,Hungry Hearts,63%
2392,Z For Zachariah,78%
2393,The Wolfpack,86%
2394,Dope,88%
2395,Call Me Lucky,85%
2396,The Gift,92%
2397,Faith Of Our Fathers,10%
2398,GTFO: Get the F&#% Out,100%
2399,7 Chinese Brothers,77%
2400,Dragon Ball Z: Resurrection 'F',83%
2401,The Vatican Tapes,20%
2402,Anthony Jeselnik: Thoughts and Prayers,100%
2403,American Pastoral,21%
2404,Trolls,76%
2405,Masterminds,33%
2406,Inferno,23%
2407,The Light Between Oceans,62%
2408,Imperial Dreams,92%
2409,Jack Reacher: Never Go Back,37%
2410,USS Indianapolis: Men of Courage,17%
2411,Antarctica: Ice & Sky (La glace et le ciel),89%
2412,A Month Of Sundays,63%
2413,Tyler Perry's Boo! A Madea Halloween,19%
2414,Shepherds and Butchers,56%
2415,"My Father, Die",64%
2416,The Anthropologist,100%
2417,Gimme Danger,94%
2418,Passage to Mars,29%
2419,I'm Not Ashamed,20%
2420,The Handmaiden (Ah-ga-ssi),95%
2421,Dr. Feelgood: Dealer or Healer?,83%
2422,The Monster,80%
2423,Eloise,0%
2424,iBoy,69%
2425,Phantasm,73%
2426,The Secret Life of Pets,73%
2427,Phantasm: Ravager,57%
2428,The Frontier,50%
2429,Odd Brodsky,100%
2430,The BFG,75%
2431,Jason Bourne,55%
2432,Don't Breathe,88%
2433,Pete's Dragon,88%
2434,The Hollars,46%
2435,For the Love of Spock,100%
2436,SiREN,65%
2437,The Great Gilly Hopkins,65%
2438,808,100%
2439,Oddball and the Penguins (Oddball),87%
2440,Attack On Titan: Part 2 (Shingeki no kyojin endo obu za warudo),50%
2441,Heart of a Dog,96%
2442,The Rocky Horror Picture Show: Let's Do the Time Warp Again,28%
2443,Mavis!,97%
2444,Author: The JT LeRoy Story,78%
2445,Kicks,87%
2446,The Wild Life,17%
2447,Don't Think Twice,98%
2448,Slash,91%
2449,Harry Benson: Shoot First,85%
2450,The Seasons in Quincy: Four Portraits of John Berger,70%
2451,"Olympic Pride, American Prejudice",100%
2452,Be My Cat: A Film for Anne,83%
2453,Ordinary World,47%
2454,Esteros,100%
2455,I Am Bolt,85%
2456,Run the Tide,9%
2457,Fake It So Real,91%
2458,The Dressmaker,56%
2459,Miss Peregrine's Home for Peculiar Children,64%
2460,Ben-Hur,25%
2461,Hillsong - Let Hope Rise,60%
2462,The Disappointments Room,0%
2463,Suicide Squad,27%
2464,The Magnificent Seven,63%
2465,Sugar Mountain,36%
2466,Storks,66%
2467,Southside With You,92%
2468,Sully,85%
2469,Bridget Jones's Baby,78%
2470,Greater,67%
2471,31,48%
2472,Equity,83%
2473,Little Men,96%
2474,Florence Foster Jenkins,88%
2475,Kill Command,75%
2476,A Man Called Ove (En man som heter Ove),90%
2477,In a Valley of Violence,76%
2478,Coming Through The Rye,70%
2479,Let's Be Evil,17%
2480,Dog Eat Dog,51%
2481,Morgan,38%
2482,Shelley,100%
2483,Barry,80%
2484,Pet,56%
2485,It Had to Be You,60%
2486,"No Pay, Nudity",71%
2487,Kill Ratio,0%
2488,Warcraft,28%
2489,Cell,11%
2490,X-Men: Apocalypse,47%
2491,The President,84%
2492,Central Intelligence,71%
2493,Mike and Dave Need Wedding Dates,37%
2494,The Purge: Election Year,55%
2495,City Of Gold,90%
2496,The Neon Demon,59%
2497,Danny Says,74%
2498,The Shallows,79%
2499,Into The Forest,76%
2500,The Mind's Eye,62%
2501,Ithaca,18%
2502,Complete Unknown,51%
2503,Audrie & Daisy,81%
2504,Swiss Army Man,71%
2505,Joshy,81%
2506,Goat,79%
2507,Hunt for the Wilderpeople,96%
2508,Eat That Question: Frank Zappa in His Own Words,92%
2509,Transpecos,91%
2510,Chicken People,100%
2511,The Late Bloomer,20%
2512,Sharknado: The 4th Awakens,15%
2513,Finding Altamira (Altamira),69%
2514,The Wailing (Goksung),99%
2515,Kingsglaive: Final Fantasy XV,12%
2516,Amanda Knox,83%
2517,ClownTown,9%
2518,Flock Of Dudes,36%
2519,Everlasting,100%
2520,Ready Player One,72%
2521,Brain on Fire,13%
2522,Another WolfCop,67%
2523,Rampage,51%
2524,Borg Vs. McEnroe,84%
2525,Where Is Kyra?,81%
2526,Gemini,70%
2527,7 Days in Entebbe,24%
2528,The Endless,93%
2529,Flower,49%
2530,Ismael's Ghosts (Les fantômes d'Ismaël),53%
2531,Double Lover (L'amant double),70%
2532,Blockers,83%
2533,The Female Brain,37%
2534,Journey's End,93%
2535,Tyler Perry's Acrimony,18%
2536,The Cured,68%
2537,Beirut,82%
2538,Tau,25%
2539,Finding Your Feet,68%
2540,White Fang (Croc-Blanc),80%
2541,Spinning Man,42%
2542,In Darkness,46%
2543,The Legacy of a Whitetail Deer Hunter,30%
2544,Terminal,21%
2545,Escape Plan 2: Hades,8%
2546,Hover,20%
2547,Us & Them,100%
2548,Sunset,29%
2549,Recovery Boys,100%
2550,Calibre,94%
2551,W. Kamau Bell: Private School Negro,82%
2552,Little Fauss and Big Halsy,33%
2553,Ghostbusters,74%
2554,Bayou Maharajah,86%
2555,Independence Day: Resurgence,29%
2556,Alice Through the Looking Glass,29%
2557,Ice Age: Collision Course,17%
2558,The Legend of Tarzan,36%
2559,The Beat Beneath My Feet,50%
2560,The Infiltrator,71%
2561,The Siege of Jadotville,60%
2562,Breaking A Monster,100%
2563,Sherpa,98%
2564,Café Society,71%
2565,Mascots,49%
2566,Len and Company,70%
2567,Blinky Bill The Movie,73%
2568,Our Kind of Traitor,72%
2569,"Life, Animated",94%
2570,Sky Ladder: The Art of Cai Guo-Qiang,100%
2571,We The People: The Market Basket Effect,78%
2572,"Fear, Inc.",45%
2573,Jack Goes Home,18%
2574,Blood Father,88%
2575,Approaching the Unknown,43%
2576,Hillary's America: The Secret History of the Democratic Party,4%
2577,Front Cover,82%
2578,Spaceman,0%
2579,Autumn Lights,14%
2580,Ovation!,43%
2581,Justin Timberlake + The Tennessee Kids,100%
2582,"Hail, Caesar!",86%
2583,Knight of Cups,47%
2584,Careful What You Wish For,17%
2585,Stand Clear Of The Closing Doors,88%
2586,The Young Messiah,46%
2587,The Keeper of Lost Causes (Kvinden i buret),70%
2588,Zootopia,97%
2589,Altered Minds (The Red Robin),50%
2590,London Has Fallen,26%
2591,45 Years,97%
2592,Kill Your Friends,23%
2593,Seve the Movie,73%
2594,My Big Fat Greek Wedding 2,28%
2595,Lucky Stiff,40%
2596,Raiders!: The Story of the Greatest Fan Film Ever Made,91%
2597,Eddie The Eagle,82%
2598,Every Thing Will Be Fine,28%
2599,One More Time (When I Live My Life Over Again),52%
2600,"Hello, My Name is Doris",84%
2601,Those People,80%
2602,Puerto Ricans In Paris,36%
2603,The Absent One (Fasandraeberne),92%
2604,King Jack,94%
2605,Mr. Right,44%
2606,Embrace Of The Serpent (El Abrazo De La Serpiente),96%
2607,10 Cloverfield Lane,90%
2608,Get a Job,5%
2609,Blackway,20%
2610,A Conspiracy of Faith (Flaskepost fra P),100%
2611,The Last King,89%
2612,Comradeship (Kameradschaft),88%
2613,LBJ,57%
2614,A Futile and Stupid Gesture,67%
2615,Old Stone (Lao Shi),96%
2616,Red Dog: True Blue,100%
2617,All I See Is You,27%
2618,The Odyssey (L'odyssée),63%
2619,A Bad Moms Christmas,31%
2620,Take Every Wave: The Life of Laird Hamilton,76%
2621,Walking Out,90%
2622,God's Own Country,97%
2623,On Body and Soul (A Teströl és Lélekröl),89%
2624,American Folk,76%
2625,Thank You for Your Service,77%
2626,Goodbye Christopher Robin,63%
2627,The Killing of a Sacred Deer,80%
2628,The Square,85%
2629,Tyler Perry's Boo 2! A Madea Halloween,5%
2630,Professor Marston & The Wonder Women,86%
2631,Last Flag Flying,78%
2632,Napping Princess (Hirune-hime: Shiranai watashi no monogatari),63%
2633,Victor Crowley,67%
2634,Blood Honey,14%
2635,24 Hours to Live,52%
2636,Just Charlie,100%
2637,Batman: Gotham by Gaslight,73%
2638,Kill Order,14%
2639,Day of the Dead: Bloodline,13%
2640,Accident Man,100%
2641,The Music of Silence,0%
2642,Fred Armisen: Standup For Drummers,67%
2643,Counterfeiters,67%
2644,The Golden Dream (La Jaula De Oro),89%
2645,Pride and Prejudice and Zombies,44%
2646,The Finest Hours,64%
2647,No No: A Dockumentary,97%
2648,Gods Of Egypt,16%
2649,Race,61%
2650,Triple 9,53%
2651,How To Be Single,46%
2652,Mark of the Witch (Another),43%
2653,Helicopter Mom,17%
2654,The Damned: Don't You Wish That We Were Dead,100%
2655,Zoolander 2,23%
2656,Risen,53%
2657,Rise of the Legend (Huang feihong zhi yingxiong you meng ),63%
2658,Song Of Lahore,100%
2659,13 Hours: The Secret Soldiers Of Benghazi,51%
2660,Anomalisa,92%
2661,The Other Side of the Door,35%
2662,Darling,71%
2663,Touched With Fire,68%
2664,The Funhouse Massacre,69%
2665,Under the Gun,100%
2666,Manhattan Night (Manhattan Nocturne),36%
2667,Memoria,100%
2668,Urge,0%
2669,Bo Burnham: Make Happy,100%
2670,The Invitation,88%
2671,Star Wars: Episode VII - The Force Awakens,93%
2672,The Nightingale (Ye Ying - Le promeneur d'oiseau),90%
2673,Patrick's Day,100%
2674,Creep,89%
2675,Of Men And War,100%
2676,The Forest,10%
2677,The Lady in the Car with Glasses and a Gun (La dame dans l'auto avec un fusil et des lunettes),80%
2678,Cartel Land,90%
2679,The Hallow (The Woods),71%
2680,Concussion,59%
2681,A Poem Is A Naked Person,87%
2682,Dixieland,10%
2683,Killing Them Safely (Tom Swift And His Electric Rifle),91%
2684,The Masked Saint,14%
2685,Veteran,90%
2686,Mojave,31%
2687,6 Years,69%
2688,Cherry Tree,9%
2689,Mustang,97%
2690,Forsaken,42%
2691,Havana Motor Club,88%
2692,Tumbledown,70%
2693,#Horror,50%
2694,Codegirl,60%
2695,Anguish,62%
2696,Ava's Possessions,64%
2697,Exposed,8%
2698,Standoff,56%
2699,About Scout,60%
2700,Hostile Border (Pocha: Manifest Destiny),67%
2701,Hush,92%
2702,Rhythm 'N' Bayous: A Road Map To Louisiana Music,40%
2703,Addiction Incorporated,72%
2704,Point Break,10%
2705,Sisters,60%
2706,The Hunger Games: Mockingjay - Part 2,70%
2707,In the Heart of the Sea,43%
2708,Alvin and the Chipmunks: The Road Chip,15%
2709,Brooklyn,97%
2710,Daddy's Home,31%
2711,We Come as Friends,97%
2712,Break Point,70%
2713,The Big Short,88%
2714,Macbeth,80%
2715,The Tribe,88%
2716,The Letters,27%
2717,Carol,94%
2718,James White,92%
2719,The Mask You Live In,60%
2720,Steve Jobs: Man in the Machine,77%
2721,Love,40%
2722,The Program,62%
2723,Mediterranea,90%
2724,What Our Fathers Did: A Nazi Legacy,90%
2725,Hyena Road,55%
2726,Baskin,78%
2727,Dreams Rewired,75%
2728,Noma: My Perfect Storm,55%
2729,The Preppie Connection,11%
2730,Bleed,43%
2731,They're Watching,47%
2732,The Brainwashing of My Dad,58%
2733,Goosebumps,78%
2734,Jobriath A.D.,64%
2735,Crimson Peak,73%
2736,Rock the Kasbah,8%
2737,The New Girlfriend,80%
2738,Suffragette,73%
2739,Bridge of Spies,91%
2740,Kahlil Gibran's The Prophet,66%
2741,Take Me to the River,72%
2742,The Last Witch Hunter,17%
2743,Our Brand is Crisis,36%
2744,A Brilliant Young Mind,87%
2745,Chi-Raq,82%
2746,Meet The Patels,87%
2747,Burnt,28%
2748,Man Up,80%
2749,Hellions,27%
2750,Bleeding Heart,43%
2751,In My Father's House,92%
2752,The Wannabe,38%
2753,Freeheld,49%
2754,Truth,62%
2755,The Assassin,80%
2756,Big Stone Gap,38%
2757,Extraordinary Tales,58%
2758,The Pack,56%
2759,Batman: Bad Blood,100%
2760,Hannibal Buress: Comedy Camisado,100%
2761,Zarafa,75%
2762,The Girls in the Band,100%
2763,Inside Out,98%
2764,Vacation,27%
2765,Self/less,19%
2766,Matt Shepard is a Friend of Mine,100%
2767,Stations of the Cross,92%
2768,We'll Never Have Paris,33%
2769,Far from Men,84%
2770,Before We Go,27%
2771,Seymour: An Introduction,100%
2772,Do I Sound Gay?,81%
2773,Mr. Dynamite: The Rise of James Brown,100%
2774,She's Funny That Way,44%
2775,Toy Story That Time Forgot,100%
2776,"One Cut, One Life",100%
2777,Elf: Buddy's Musical Christmas,89%
2778,Bloodsucking Bastards,65%
2779,The End Of The Tour,91%
2780,Best Of Enemies,93%
2781,Digging For Fire,66%
2782,Tangerine,96%
2783,The Final Girls,72%
2784,Mr. Holmes,89%
2785,My Italian Secret: The Forgotten Heroes,80%
2786,Stung,56%
2787,Bound to Vengeance,25%
2788,Tap World,86%
2789,Wild City,50%
2790,The Diabolical,40%
2791,London Fields,0%
2792,Ralph Breaks the Internet,89%
2793,Letters From Baghdad,83%
2794,Bohemian Rhapsody,61%
2795,The Girl in the Spider's Web,40%
2796,Widows,91%
2797,Lu Over the Wall (Yoake tsugeru Rû no uta),76%
2798,Overlord,81%
2799,Rodents of Unusual Size,98%
2800,Maria By Callas,92%
2801,Among Wolves,100%
2802,The Guilty (Den skyldige),98%
